,year,key_skills,count
7088,2015,Разговорный и письменный английский язык,1
7087,2015,Опыт системного администрирования и поддержки пользователей,2
7086,2015,Опыт работы с базами данных (Microsoft SQL Server,1
7085,2015,Знание языка запросов SQL диалекты SQL сервер и PostgreSQL,1
7084,2015,Знание процедурных расширений Transact-SQL,1
7083,2015,Знание продукта Microsoft CRM Dynamics - уровень пользователя,1
7082,2015,Знание Microsoft SQL Server Reporting Service и Microsoft SQL Server Integration services,1
7081,2015, Стремление к профессиональному росту,1
7080,2015, Знание рынка клиентских и браузерных MMO игр.,1
7079,2015,	Хорошее знание протоколов стека TCPIP,1
7078,2015,	Стремление к профессиональному росту,1
7077,2015,	Самостоятельность,1
7076,2015,	Отличные коммуникативные навыки,1
7075,2015,	Опыт работы в продажах,2
7074,2015,	Опыт настройки Windows Server 2008,1
7073,2015,	Нацеленность на результат,1
7072,2015,	Наличие сертификата Cisco CCNA,2
7071,2015,	Навыки ведения переговоров,2
7070,2015,	Знание компьютерных комплектующих и умение с ними работать,1
7069,2015,	Знание компьютерного железа и периферии,1
19918,2016,	имеет опыт работы с заказчиком 	успешно руководил не менее чем 2-мя проектами (под успешностью,1
19917,2016,	CMS,2
19916,2016,223-ФЗ,1
19915,2016,высшее профильное образование (желательно информационная безопасностьинформационные технологии),1
19914,2016,Отличное знание он-лайн среды,1
19913,2016,Отличное знание Objective-CSwift,2
19912,2016,Опыт разработки приложений под iPhoneiPad,2
19911,2016,Опыт работы с HTTP,2
19910,2016,Опыт работы в области программирования от 2 лет,2
19909,2016,Навыки работы с системами контроля версий,4
19908,2016,Навыки дизайнера (желательно),1
19907,2016,Знание языка Java,2
19906,2016,Знание PHP,2
19905,2016,MS SQL Server,1
19904,2016,MS .Net C,1
19903,2016, практический опыт ведения страниц в социальных сетях,1
19902,2016, лидер,1
19901,2016, знание законов и принципов usability и стандартов сайтостроения,1
19900,2016, Стремление к профессиональному росту,1
19899,2016, Разработка стратегии присутствия компании в социальных сетях,1
35851,2017,	Умение работать в небольшом коллективе.,1
35850,2017,	Умение работать в небольшом коллективе,1
35849,2017,	Организованность,3
35848,2017,	Желание и умение работать на результат.,1
35847,2017,	Желание и умение работать на результат,1
35846,2017, Знание стандартных программ Windows,1
35845,2017,знание языка запросов T-SQL,1
35844,2017,знание принципов оптимизирования запросов и баз данных,1
35843,2017,Умение работать в режиме многозадачности.,1
35842,2017,Создание контента (текст,1
35841,2017,Программирование,1
35840,2017,Отличное знание Objective-CSwift,1
35839,2017,Опыт разработки приложений под iPhoneiPad,1
35838,2017,Опыт работы с системами звукоусиления и акустическими системами,1
35837,2017,Опыт работы с HTTP,1
35836,2017,Опыт работы с AD.DNS и почтовыми серверами на уровне адинистратора,1
35835,2017,Опыт работы в области программирования от 2 лет,1
35834,2017,Навыки работы с системами контроля версий,2
35833,2017,Знание языка Java,1
35832,2017,Знание технологии виртуализации,1
56845,2018,	Умение работать в небольшом коллективе,3
56844,2018,	Организованность,4
56843,2018,	Желание и умение работать на результат,3
56842,2018,	Умение принимать решение в сложных ситуациях,2
